Lat,Lng,Service,City,LocationName,Address,Icon,ViewUrl,Type
20.006932,42.62254,Branches and Sales Centers,Bieshah,Bieshah,King Saud Bin Abdulaziz,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.472876,39.700038,Branches and Sales Centers,Madina,Madinah Railway station,Madinah Railway station,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.4172537038993,39.789320802120464,Branches and Sales Centers,Makkah,Makkah Railway station,Makkah Railway station,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.649376,46.556714,Branches and Sales Centers,Riyadh,Dhuhrat Leban,Merad Altaif street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.591423,39.207462,Branches and Sales Centers,JEDDAH,Alsafa,Muteb bin Abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.769975,46.646748,Branches and Sales Centers,Riyadh,Al Ghadir,"Olaya St, Al Ghadir",/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
21.437938,39.793331,Branches and Sales Centers,Makkah,Alnuzha,old Mecca-Jeddah road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
26.400555,43.92388,Branches and Sales Centers,BURAIDAH,Aliskan,Omar bin Alkhattab road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.08965,38.044254,Branches and Sales Centers,Yanbu,Yabou,Omar bin Alkhattab st- Alhawraa district,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men
24.08965,38.044254,Branches and Sales Centers,Yanbu,Yabou,Omar bin Alkhattab st- Alhawraa district,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
26.39471969080375,50.07006802892415,Branches and Sales Centers,DAMMAM,AlFaisaliyah,Omar bin al-Khattab Street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
