atmLocations/atmLocationId,atmLocations/name,atmLocations/site,atmLocations/coordinate,atmLocations/emirate,atmLocations/location,atmLocations/status,atmLocations/atmType
23857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ain City Center - Mowaji area,Public,"24.223822,55.728093",Al Ain,"ATM located next to the entrance of the supermarket, near City Season hotel, Sh Khalifa Bin Zayed St.",,RAKBANK
37857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ansari Exchange,Public,"25.262671, 55.28798",Dubai,"ATM located next to the entrance of the exchange house, opposite to Al Ghubaiba Bus Station",,RAKBANK
b65de639-c46b-465e-b992-3b857e7d6165,Al Barari Forest Baynunah AD,Not open to public,"24.0925643,52.9546203",Abu Dhabi,Baynunah Abu Dhabi,,C3Pay
c53ec436-d84f-4e78-a59c-a1ca78eb9bc2,Al Barari Forest Remah Al Ain,Not open to public,"24.1892778,55.3355399",Al Ain,Remah Al Ain,,C3Pay
70857ed2-1d22-ec11-93a7-8086f2aa5252,Al Dhait Drive Thru,Public,"25.749938, 55.907466",RAK,Drive thru ATM located next to Al Dhait RAKBANK branch.,,RAKBANK
7c857ed2-1d22-ec11-93a7-8086f2aa5252,Al Falah Plaza,Public,"25.332339,55.399016",Sharjah,"ATM located at ground level inside the hypermarket, next to the UAE Exchange outlet.",,RAKBANK
36857ed2-1d22-ec11-93a7-8086f2aa5252,Al Fardan Exchange,Public,"25.259426,55.293299",Dubai,ATM located next to the entrance of the Al Fardan Exchange which is near to the Ascot hotel.,,RAKBANK
74857ed2-1d22-ec11-93a7-8086f2aa5252,"Al Fardan Exchange, Clock round about",Public,"25.361345,55.396666",Sharjah,"ATM located next to entrance of the exchange house, overlooking the Clock Tower round about.",,RAKBANK
67857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ghail Shopping Centre,Public,"25.409821, 55.992746",RAK,ATM located next to the main entrance of shopping center,,RAKBANK
53857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ghurair Centre,Public,"25.267208,55.31716",Dubai,"New Mall Extension, Ground Floor, Next to the Damas & Omega Showroom, Rigga Street Entrance",,RAKBANK
6afcd1fb-01f7-46af-8eb7-60f9a6701370,Al Ghurair Exchange Al Qouz,Public,"25.1562177,55.2489745",Dubai,Industrial Area 4 DXB,,C3Pay
fa9dd106-77c3-4b6e-83e4-32c466f7252b,Al Ghurair International Exchange Al Jurf 1 AJM,Public,"25.4332473,55.5283692",Ajman,Al Jurf Industrial Area 2 Ajman,,C3Pay
f8152b81-345e-487e-b997-c0f297c4e88d,Al Ghurair International Exchange DIC,Public,"24.8292716,55.0758767",Dubai,Dubai Industrial City 2,,C3Pay
ac04cfab-5f96-4821-9731-13ab7d04fa37,Al Ghurair International Exchange Hor Al Anz,Public,"25.2734609,55.3333605",Dubai,"Hor Al Anz, Dubai",,C3Pay
6c857ed2-1d22-ec11-93a7-8086f2aa5252,Al Hamra Mall,Public,"25.682228, 55.780418",RAK,"ATM located next to the Spinney's outlet, ground floor.",,RAKBANK
ae493ee0-8ee4-410c-9a5b-fa877c448c20,Al Jaber Exchange Mafreq Abu Dhabi,Public,"24.2829494,54.6073959",Abu Dhabi,AJAC Camp Baniyas,,C3Pay
52857ed2-1d22-ec11-93a7-8086f2aa5252,Al Khail Mall,Public,"25.149244, 55.246111",Dubai,"ATM located next to the gate 2 entrance, near emirates International exchange ",,RAKBANK
6f857ed2-1d22-ec11-93a7-8086f2aa5252,Al Madinah Drive Thru,Public,"25.790439,55.945596",RAK,Drive thru ATM located next to Al Madinah RAKBANK branch.,,RAKBANK
5c857ed2-1d22-ec11-93a7-8086f2aa5252,Al Marjan Island,Public,"25.660876, 55.750406",RAK,ATM located in the visitors car park area of the Marjan Island Office building,,RAKBANK
2aa1af43-be0b-4068-9983-e4505d8234ff,Al Naboodah Construction Group ATM1 - Wall Street EH,Not open to public,"25.1597073,55.4878521",Dubai,Al Ruwayyah DXB,,C3Pay
1cc3eb66-a5e8-4f5c-a3f6-91dad1198470,Al Naboodah Construction Group ATM2 - Wall Street EH,Not open to public,"25.1597073,55.4878521",Dubai,Al Ruwayyah DXB,,C3Pay
