ATMS/id,ATMS/name,ATMS/district,ATMS/latitude,ATMS/longitude,ATMS/zoom
ZrgiUMCLXdBCrg2lM07f,Taj Mall 2,,31.941092,35.888214,20
ZzNynzYVYnfyIOgYtB64,Al-Khader,,31.694233,35.171646,20
a13hNPdxVUpErtOcgXDY,Tareq (Tabarbour),,32.003391,35.93711,20
a6FuWpg2rGCvwCh30Mnd,Al huda station,,31.885444,35.199035,20
a6Ids6GUbA0ZA508CnB0,Jopetrol Istiklal 2,,31.9764,35.92882,20
a8Ik8WPFB00cEig4QKYx,Khalda 2,,31.997103,35.846956,20
aDBlU9nrZb9B4aTYXcsY,DAR EL HANDASA COMPANY,,30.07562,31.024498,20
aJD9H62VffoJfGheDjod,Confetti Library,,31.993,35.814,20
aN1IVPmeqE0mzQoU4cUD,Atari & Elyan Gas station,,31.899175,35.177364,20
acVmUfB0vFtYTioWgOwC,Abu Nuseir,,32.051198,35.8825168,20
aigwsiNyoZxE6CwZ9aLS,Jubeiha,,32.01882,35.86581,20
ajMeonyMuxnoTJzwmWhg,Ein Um Al-Sharayet,,31.886231,35.212855,20
ampOndHFl6hPhvtA1GKh,Safeway Marj Al-Hamam,,31.888,35.858,20
auxmebSZbrtY2OTZIMYk,Mellennium Hospital ,,30.033165,31.210573,20
b2ufhRR8E4ixfKDyMoe0,Ein Sara branch,,31.552857,35.0981948,20
bItHJwkzhVPPkYwRTwzA,Salt,,32.041351,35.72903,20
bJlxQXXyopkGIAxntAm0,Head Office GF3,,31.965306,35.898637,20
bO1NXWgybCMPtCUxbz48,Dora ,,33.895,35.545,20
bVcZxdg5dADLTXzvH5t6,TRIANGLE COMPANY,,29.982481,31.358864,20
bcGeiuqSB8kT70kgvDdF,Obour Club,,30.234022,31.458395,20
bgx28Uzwag3Zg9B7Le9o,Chillout Triumph,,30.006599,31.399824,20
bphUEyoP7nYKqqfR9ZQQ,Ramtha,,32.5609205,36.0107832,20
bqGiwK6Kd137Adi2pgzI,Irbid Arabella Mall,,32.538221,35.862529,20
bvqHIrWkzIjTi0HO7yUk,Abdali Mall 2,,31.9635151,35.9076242,20
c7cqZNOJJ7x4Kfd9RlsE,Abela,,31.962458,35.898766,20
cC1LzazwdHDTh9a6RGsh,Irbid Hikma Street,,32.57107127,35.86204657,20
cbuGiHy0yQHfaYre3MBa,Jericho Rest,,31.860838,35.47834,20
cmfE1058oorCoNUnz4hw,HELIOPOLIS BRANCH,,30.112656,31.344124,20
cmhjP4HhyoeX1QIziYTX,Al Watania for fertilizers & Agrochemicals company,,30.828506,29.915112,20
cpFLDMUojyst7mIsqA6C,Ramida,,29.9374121,30.8949115,20
cpSKgcJfhg4YAEHCWA7e,al rimal 2,,31.519709,34.445379,20
d0uMs2EVdiLtu8UoHPgc,Jenin ,,32.462313,35.297742,20
dMnUt5YOlCi9sBRuDsFy,Wadi Saqra,,31.960713,35.895378,20
dNb9jw8UKnO5s2L5ksJL,SMOUHA BRANCH,,31.213383,29.939541,20
diGGB21j9S1goqqzdEKS,EL DELTA FACTORY (OLYMPIC),,30.239878,31.745859,20
dk762i6bjdulkEXcy0IL,EMARAT EL MAADI,,29.9860123,31.3064777,20
dmCAtGFYJfp0TwEAszf7,Mecca Mall outside,,31.977015,35.843217,20
dv5im3yMlEBkvjPMMh0B,Manaseer Saro,,32.042191,35.781097,20
e9f92YMz8mkODGILRCaN,Matrix Club,,30.84201543,31.01696304,20
eRpaVRWUYZRaNCTNDwuO,MSA UNIVERSITY ,,29.956228,30.95826,20
eYDZF85cV9jDbVab9wm8,Wadi Seer 2,,31.954632,35.84141,20
ehbpAPj0ycLHTe8l866l,Hashmi Shamali,,31.968697,35.960103,20
epYgevjF6ymGsqm3UMQ7,Attel,,32.370411,35.071557,20
eqf3AfJMAIooULigEqZZ,Murjan Mall,,31.981,35.866,20
esqSGFEzDwYXL7a7j1zV,Jordan University,,32.015636,35.873301,20
f2WM0wSDbHcDLP4GAH90,Beit Jala,,31.714962,35.186307,20
fCGAnMx0HoPLodsLtxBF,Manaseer Madaba,,31.723691,35.809089,20
fF97FZboFGfG9qckfwi1,Sameh Mall - Yajouz,,32.0279493,36.0340362,20
fRqWsYaJO9Vi2KzD4giN,Total Al-Jezeh/Drive Thru ATM,,31.805396,35.911987,20
