priority,objectId,cityName,latitude,longitude,address/en,address/ar,storeStatus/value,storeStatus/label/en,storeStatus/label/ar,openingHours/en,openingHours/ar,distance/value,distance/unit/en,distance/unit/ar
231,4769,MAKKAH AL-MUKARRAMAH,21.479992,39.796043,"Al tanim district, AL Tanim Boulevard AL Madina Al Manawara Road","حي التنعيم, برج التنعيم",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
232,4770,MAKKAH AL-MUKARRAMAH,21.487947,39.944927,"Al sharai al shamalyah district, King Faisal Road, next to Baskin Robines","حي الشرايع الشمالية, شارع الملك فيصل",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
233,4771,AL KHOBAR,26.361916,50.194958,"Al Rakha Al shamaliah district, Khaled Bin Al Waleed street in front of NAB Bank",الراكة الشمالية شارع خالد بن الوليد مقابل البنك الاهلي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
234,4772,RIYADH,24.69875,46.640835,"Uroba Road west, beside Meed Mini Market",طريق العروبة - بجانب ميد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
235,4773,RIYADH,24.726358,46.68693,AL Shikh Abdullah Al Anghari St.,شارع الشيخ عبدالله العنقري,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
236,4774,RIYADH,24.782633,46.81785,"Mohammad Bin Ismaeel AL Sanani, Al Khaleej district",شارع محمد بن اسماعيل السناني - حي الخليج,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
237,4775,RIYADH,24.79945,46.69763,"Uthman Ibn Affan Branch Rd, Al Falah district",شارع عثمان بن عفان - حي الفلاح,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
238,4776,RIYADH,24.554892,46.510822,Najm Ad Din Al Ayyubi St. AL Ghorob district,شارع نجم الدين - حي الغروب,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
239,4777,AD DILAM,23.996105,47.139248," Al Dalam, King Fahad Rd. As Sahna district",الدلم - شارع الملك فهد - حي الصحن ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
240,4778,AL-KHARJ,24.151348,47.355858,"Prince Sultan Bin Abdulaziz Rd, Al Faysaliyah district",شارع سلطان بن عبد العزيز-  حي الفيصلية,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
